id_product,category,brand,type_product,name,image_url,description,ingredients
0,0,0,0,QUESO MANTECOSO LAMINADO 500 G,https://santaisabel.vtexassets.com/arquivos/ids/189960-750-750?width=750&height=750&aspect=true,Exquisito Queso Mantecoso Laminado hecho con leche natural. Queso naturalmente libre de lactosa. Contiene: 28 láminas en envase resellable.  Exquisito Queso Mantecoso Laminado hecho con leche natural. Queso naturalmente libre de lactosa. Contiene: 28 láminas en envase resellable. ,"Leche natural parcialmente descremada,  Sal,  Cloruro de calcio,  Cuajo,  Nitrato de sodio,  Cultivos lácteos seleccionados"
1,0,1,0,QUESO GAUDA  RANCO LAMINADO GRANEL,https://santaisabel.vtexassets.com/arquivos/ids/161750-750-750?width=750&height=750&aspect=true," Naturalmente sin lactosa. Queso gauda laminado de Colún, ideado especialmente para sandwich. En versión granel.",NA
2,0,2,1,JAMÓN ACARAMELADO GRANEL,https://santaisabel.vtexassets.com/arquivos/ids/157636-750-750?width=750&height=750&aspect=true, Jamón acaramelado es ideal para preparar esos ricos sándwiches que tanto te gustan. Elaboración en base a frescos y delicioso ingredientes.,NA
3,0,0,0,QUESO MANTECOSO LAMINADO GRANEL QUILQUE,https://santaisabel.vtexassets.com/arquivos/ids/161745-750-750?width=750&height=750&aspect=true," Delicioso Queso Quilque, perfecto para prepararlo en ese rico sándwich que tanto te gusta a la hora del desayuno.",NA
4,0,3,0,QUESO GAUDA 500 G,https://santaisabel.vtexassets.com/arquivos/ids/180992-750-750?width=750&height=750&aspect=true," Queso gauda de Cuisine & Co, un producto delicioso, de textura suave, sabor auténtico. Ideal para acompañar un sádwich o alguna preparación que lo amerite.","Leche pasteurizada,  Sal,  Cultivos lácticos,  Cloruro de calcio,  Cuajo microbiano,  Leche"
5,0,3,0,QUESO CREMA PASTEURIZADO 226 G,https://santaisabel.vtexassets.com/arquivos/ids/168648-750-750?width=750&height=750&aspect=true," Perfecto para cualquier preparación, ya sea dulce o salada. Deliciosa textura, máxima cremosidad que hará tus comidas y postres una experiencia fantástica.","Leche recombinada entera pasteurizada,  Crema de leche natural pasteurizada,  Sal,  Cultivos lácticos,  Goma garrofín,  Goma guar,  Leche"
6,0,2,1,JAMÓN COLONIAL GRANEL,https://santaisabel.vtexassets.com/arquivos/ids/163756-750-750?width=750&height=750&aspect=true, El jamón colonia de Winter es recomendado para cocktail o sandwich. Su gran calidad y sabor lo caracterizan.,NA
7,0,4,1,JAMÓN ARTESANAL GRANEL,https://santaisabel.vtexassets.com/arquivos/ids/157622-750-750?width=750&height=750&aspect=true,"Incluye el jamón artesanal en tu dieta y, así tendrás una alternativa ligera, práctica y versátil. Es ideal para preparar sándwiches, ensaladas, tacos, crepes o pastas por su sabor neutro y balanceado, que se fusiona con estos y otros platos. Incluye el jamón artesanal en tu dieta y, así tendrás una alternativa ligera, práctica y versátil. Es ideal para preparar sándwiches, ensaladas, tacos, crepes o pastas por su sabor neutro y balanceado, que se fusiona con estos y otros platos.",NA
8,0,5,1,JAMÓN PIERNA ARTESANAL PF GRANEL,https://santaisabel.vtexassets.com/arquivos/ids/157619-750-750?width=750&height=750&aspect=true,"El Jamón Artesanal es un producto elaborado con un corte especial de la pierna del cerdo. Armado artesanalmente, cubierto de una capa de fino caramelo glaseado, envasado al vacío, para luego ser sometido a un proceso térmico de cocción mediante el cual se asegura su conservabilidad y terneza. Ideal para el paladar del consumidor exigente. El Jamón Artesanal es un producto elaborado con un corte especial de la pierna del cerdo. Armado artesanalmente, cubierto de una capa de fino caramelo glaseado, envasado al vacío, para luego ser sometido a un proceso térmico de cocción mediante el cual se asegura su conservabilidad y terneza. Ideal para el paladar del consumidor exigente.",NA
9,0,1,0,QUESO REGGIANITO RALLADO 40 G,https://santaisabel.vtexassets.com/arquivos/ids/161701-750-750?width=750&height=750&aspect=true," Queso Reggianito rallado de Colun, contenido 40 gr. Elaborado en origen. Naturalmente sin lactosa. Producto obtenido a partir de queso Reggianitto Maduro, el cual es sometido a un proceso de desintegración mecánica y deshidratación por calor. Su presentación es en forma de grano fino.","Leche pasteurizada,  Sal,  Cloruro de calcio,  Cuajo,  Nitrato de sodio,  Cultivos lácteos"
