,Name,Link,Image,Brand,Best price,Normal price,Type of product,Category,Description,Ingredients,Available,Date
0,Queso mantecoso laminado 500 g,https://www.santaisabel.cl/quesomantecoso-quilque-28laminasenvaseresellablealvacio500grs-2/p,https://santaisabel.vtexassets.com/arquivos/ids/189960-750-750?width=750&height=750&aspect=true,Quilque,5099,6299,NA,Quesos y Fiambres,Exquisito Queso Mantecoso Laminado hecho con leche natural. Queso naturalmente libre de lactosa. Contiene: 28 láminas en envase resellable.  Exquisito Queso Mantecoso Laminado hecho con leche natural. Queso naturalmente libre de lactosa. Contiene: 28 láminas en envase resellable. ,NA,Yes,2022-09-26
1,Queso gauda Ranco laminado granel,https://www.santaisabel.cl/queso-ranco-colun-laminado-granel-2-2-2-2-2/p,https://santaisabel.vtexassets.com/arquivos/ids/161750-750-750?width=750&height=750&aspect=true,Colun,NA,1016,NA,Quesos y Fiambres,"Naturalmente sin lactosa. Queso gauda laminado de Colún, ideado especialmente para sandwich. En versión granel.",NA,Yes,2022-09-26
2,Queso parmesano rallado 40 g,https://www.santaisabel.cl/queso-parmesano-rallado-40-g-cuisine-and-co-1873785/p,https://santaisabel.vtexassets.com/arquivos/ids/178213-750-750?width=750&height=750&aspect=true,Cuisine & Co,NA,849,NA,Quesos y Fiambres,"Sabemos que un buen producto también puede tener un mejor precio, es por esto que te invitamos a descubrir nuestra nueva marca, creada especialmente para esos incansables buscadores del sabor y que valoran la calidad y la innovación, sin tener que pagar de más. Navega en nuestro sitio web y sorpréndete con la fantástica y extensa variedad de productos Cuisine & Co.",NA,Yes,2022-09-26
3,Jamón Pierna Artesanal PF Granel,https://www.santaisabel.cl/jamon-pierna-artesanal-pf-granel/p,https://santaisabel.vtexassets.com/arquivos/ids/157619-750-750?width=750&height=750&aspect=true,PF,NA,740,Jamón,Quesos y Fiambres,"El Jamón Artesanal es un producto elaborado con un corte especial de la pierna del cerdo. Armado artesanalmente, cubierto de una capa de fino caramelo glaseado, envasado al vacío, para luego ser sometido a un proceso térmico de cocción mediante el cual se asegura su conservabilidad y terneza. Ideal para el paladar del consumidor exigente. El Jamón Artesanal es un producto elaborado con un corte especial de la pierna del cerdo. Armado artesanalmente, cubierto de una capa de fino caramelo glaseado, envasado al vacío, para luego ser sometido a un proceso térmico de cocción mediante el cual se asegura su conservabilidad y terneza. Ideal para el paladar del consumidor exigente.",NA,Yes,2022-09-26
4,Jamón Colonial PF Granel,https://www.santaisabel.cl/jamon-colonial-pf-granel-2/p,https://santaisabel.vtexassets.com/arquivos/ids/157617-750-750?width=750&height=750&aspect=true,PF,NA,1060,Jamón,Quesos y Fiambres,"El jamón colonial PF es un producto elaborado con un corte especial de la pierna del cerdo, cubierto con una capa de cuero de cerdo. Armado y moldeado artesanalmente, para luego ser sometido a un proceso térmico de cocción mediante el cual se asegura su conservabilidad y terneza. Finalmente se cubre con una capa de fino caramelo glaseado. Ideal para el paladar del consumidor exigente. El jamón colonial PF es un producto elaborado con un corte especial de la pierna del cerdo, cubierto con una capa de cuero de cerdo. Armado y moldeado artesanalmente, para luego ser sometido a un proceso térmico de cocción mediante el cual se asegura su conservabilidad y terneza. Finalmente se cubre con una capa de fino caramelo glaseado. Ideal para el paladar del consumidor exigente.",NA,Yes,2022-09-26
5,Queso mantecoso laminado granel Quilque,https://www.santaisabel.cl/queso-mantecoso-quilque-granel/p,https://santaisabel.vtexassets.com/arquivos/ids/161745-750-750?width=750&height=750&aspect=true,Quilque,NA,976,NA,Quesos y Fiambres,"Delicioso Queso Quilque, perfecto para prepararlo en ese rico sándwich que tanto te gusta a la hora del desayuno.",NA,Yes,2022-09-26
6,Queso gauda 500 g,https://www.santaisabel.cl/queso-gauda-500-g-cuisine-and-co-1885308/p,https://santaisabel.vtexassets.com/arquivos/ids/180992-750-750?width=750&height=750&aspect=true,Cuisine & Co,NA,4559,En un lugar fresco y seco,Quesos y Fiambres,"Queso gauda de Cuisine & Co, un producto delicioso, de textura suave, sabor auténtico. Ideal para acompañar un sádwich o alguna preparación que lo amerite.","Leche pasteurizada, Sal, Cultivos lácticos, Cloruro de calcio, Cuajo microbiano, Leche",Yes,2022-09-26
7,Queso crema pasteurizado 226 g,https://www.santaisabel.cl/queso-crema-pasteurizado-226-g-cuisine-and-co-1820460/p,https://santaisabel.vtexassets.com/arquivos/ids/168648-750-750?width=750&height=750&aspect=true,Cuisine & Co,NA,2449,NA,Quesos y Fiambres,,NA,Yes,2022-09-26
8,Jamón Pierna Acaramelado PF Granel,https://www.santaisabel.cl/jamon-pierna-acaramelado-pf-granel-2/p,https://santaisabel.vtexassets.com/arquivos/ids/157616-750-750?width=750&height=750&aspect=true,PF,NA,1060,Jamón,Quesos y Fiambres,"El Jamón Pierna Acaramelado PF es un producto elaborado con un corte especial de la pierna del cerdo. Armado y moldeado artesanalmente, para luego ser sometido a un proceso térmico de cocción mediante el se asegura su conservabilidad y terneza. Finalmente se cubre con una capa de fino caramelo glaseado. El producto se rebana, se envasa al vacío y se somete a un tratamiento por altas presiones que asegura la inocuidad, durabilidad y frescura del producto durante toda su vida útil. Ideal para el paladar del consumidor exigente. El Jamón Pierna Acaramelado PF es un producto elaborado con un corte especial de la pierna del cerdo. Armado y moldeado artesanalmente, para luego ser sometido a un proceso térmico de cocción mediante el se asegura su conservabilidad y terneza. Finalmente se cubre con una capa de fino caramelo glaseado. El producto se rebana, se envasa al vacío y se somete a un tratamiento por altas presiones que asegura la inocuidad, durabilidad y frescura del producto durante toda su vida útil. Ideal para el paladar del consumidor exigente.",NA,Yes,2022-09-26
9,Queso Reggianito rallado 40 g,https://www.santaisabel.cl/queso-reggianito-colun-rallado-40-g-2/p,https://santaisabel.vtexassets.com/arquivos/ids/161701-750-750?width=750&height=750&aspect=true,Colun,739,929,40 g,Quesos y Fiambres,"Queso Reggianito rallado de Colun, contenido 40 gr. Elaborado en origen. Naturalmente sin lactosa. Producto obtenido a partir de queso Reggianitto Maduro, el cual es sometido a un proceso de desintegración mecánica y deshidratación por calor. Su presentación es en forma de grano fino.",NA,Yes,2022-09-26
