,Name,Link,Best price,Normal price,Type of product,Description,Ingredients,Available
0,,,,,,,,
1,Hamburguesa vegetal barbikiu riku 200g,https://www.jumbo.cl/hamburguesa-vegetal-barbikiu-riku-200g-1884289/p,$2.550,$3.290,Hamburguesas de Verduras,"Nueva y suculenta hambuerguesa 100% vegetal, de gran sabor y textura. Una preparación culinaria en base a proteína de arveja.","Agua,  Proteína de arvejas,  Aceite de maravilla,  Aceite de coco,  Metilcelulosa,  Almidón de papa,  Sal,  Fibra de cítrico,  Cebolla,  Sabor idéntico al natural,  Color natural extracto de remolacha,  Color natural caramelo natural",1
2,Sucedáneo de salchicha vegana 250 g,https://www.jumbo.cl/salchichas-veganas-rik-250-g/p,$2.090,$2.699,Pizza Vegetariana,"Delicioso Sucedáneo de salchicha vegana 250 g Rikü, libre de ingredientes de origen animal, perfecto para ti. Deleita su increíble sabor.","Gluten vital de trigo,  Proteínas de soya,  Aceite de maravilla,  Sal,  Almidón de papa,  Saborizante idéntico a natural,  Carragenina,  Fibra de cítrico,  Ajo en polvo,  Pimienta blanca,  Extracto de paprika",1
3,Sucedáneo de chorizo vegano 260 g,https://www.jumbo.cl/chorizo-vegano-rik/p,$1.850,$2.299,Pizza Vegetariana,"Delicioso Sucedáneo de chorizo vegano 260 g Rikü, libre de ingredientes de origen animal, perfecto para ti. Deleita su increíble sabor.","Agua,  Proteína de soya,  Proteína de trigo,  Aceite de maravilla,  Trigo mote,  Cebolla,  Pimentón rojo en polvo,  Comino,  Orégano,  Ajo,  Pimienta,  Almidón de papa,  Sal,  Saborizantes naturales vegetales,  Saborizante idéntico al natural,  Cloruro de potasio,  Merkén ahumado,  Goma xanthan,  Perejil,  Colorante extracto de páprika,  Trigo,  Soya",1
4,Hamburguesa de vacuno Mastodonte 185 g,https://www.jumbo.cl/hamburguesa-de-vacuno-la-crianza-bolsa-185-g-mastodonte-2/p,NA,$2.090,Hamburguesas de Vacuno,"Nada se compara, nada se iguala con nuestra hamburguesa Mastodonte, disfruta de 185 gramos de carne de vacuno directamente en tu plato, cocínala a la parrilla o al sartén, da igual porque su gran e inmenso sabor llegará directamente a tu paladar.","Carne de vacuno,  Agua,  Maltodextrina,  Cloruro de potasio,  Fibra vegetal,  Sal,  Tripolifosfato de sodio,  Glutamato monosódico,  Saborizante natural,  Tetrapirofosfato de sodio,  Cloruro de sodio,  Eritorbato de sodio,  Citrato de sodio,  Extracto de levadura,  Proteína de soya,  Aromatizante natural e idéntico al natural,  Pimienta,  Bht,  Soya",1
5,Choclo en grano congelado 500 g,https://www.jumbo.cl/choclo-en-grano-congelado-500-g-cuisine-and-co-1763677/p,NA,$1.790,Choclo,"Choclo en grano 100% natural y sin preservantes. Cosechado en su punto óptimo de maduración y congelados mediante sistema iqf (individual quick frozen), sometidos a rigurosas selecciones para asegurar la mejor calidad.",Granos de choclo supercongelados,1
6,Choclo tierno 400 g,https://www.jumbo.cl/choclo-la-crianza-bolsa-400-g-premium-tiernos-congelado-2/p,NA,$2.059,Choclo,Disfruta del delicioso sabor y textura de los choclos tiernos que Delicias del Huerto de La Crianza trae para ti. Un producto elaborado 100% con ingredientes naturales. Mantener en el congelador.,Choclos en granos,1
7,Choclo en granos 500 g,https://www.jumbo.cl/choclo-frutos-del-maipo-bolsa-500-g-congelado-2/p,$1.590,$1.990,Choclo,"Choclo en grano 100% natural y sin preservantes. Cosechado en su punto óptimo de maduración y congelados mediante sistema IQF (Individual Quick Frozen), sometidos a rigurosas selecciones para asegurar la mejor calidad.
Frutos del Maipo, es la mejor alternativa en frutas y hortalizas congeladas debido a que respetan y se preocupan por el medioambiente; Además se aseguran de que los productos cumplan con los más altos estándares de calidad.",Choclo en grano,1
8,Papas pre fritas 1 kg,https://www.jumbo.cl/papas-pre-fritas-1-kg-cuisine-and-co-1861054/p,$2.790,$3.390,Papas Pre Fritas,"Exquisitas papas pre fritas, casi listas para degustar su delicioso sabor. Hornéalas o fríelas, y en un par de minutos ya estarán listas para comer.","Papas,  Aceite vegetal de maravilla",1
9,Papas duquesas 1 kg,https://www.jumbo.cl/papas-duquesas-1-kg-cuisine-and-co-1861055/p,$2.790,$3.490,Papas Duquesas,"Exquisitas papas duquesas, casi listas para degustar su delicioso sabor. Hornéalas o fríelas, y en un par de minutos ya estarán listas para comer.",NA,1
10,Hielo campana 2 kg,https://www.jumbo.cl/hielo-campana-2-kg-cuisine-and-co-1784329/p,NA,$1.399,Hielos,"Sabemos que un buen producto también puede tener un mejor precio, es por esto que te invitamos a descubrir nuestra nueva marca, creada especialmente para esos incansables buscadores del sabor y que valoran la calidad y la innovación, sin tener que pagar de más. Navega en nuestro sitio web y sorpréndete con la fantástica y extensa variedad de productos Cuisine & Co.",Agua potable ablandada filtrada y purificada,1
11,Porotos verdes congelados 350 g,https://www.jumbo.cl/porotos-verdes-congelados-350-g-cuisine-and-co-1763682/p,NA,$1.090,Ensalada de Verduras,Porotos verdes corte francés 100% natural y sin preservantes. Cosechados en su punto óptimo de maduración.,Porotos verdes supercongelados,1
12,Choclo en grano congelado 1 kg,https://www.jumbo.cl/choclo-en-grano-congelado-1-kg-cuisine-and-co-1763678/p,NA,$3.090,Choclo,"Choclo en grano 100% natural y sin preservantes. Cosechado en su punto óptimo de maduración y congelados mediante sistema iqf (individual quick frozen), sometidos a rigurosas selecciones para asegurar la mejor calidad.",Granos de choclo supercongelados,1
13,Arvejas congeladas 500 g,https://www.jumbo.cl/arvejas-congeladas-500-g-cuisine-and-co-1763675/p,NA,$1.790,Base Arverjado,"Arveja 100% natural y sin preservantes. Cosechada en su punto óptimo de maduración, congelados mediante sistema IQF (Individual Quick Frozen) y sometidos a rigurosas selecciones para asegurar la mejor calidad.",Arvejas supercongeladas,1
